1|Laughter Song|When I was a little filly and the sun was going down... -a-The darkness and the shadows, they would always make me frown... -a-I'd hide under my pillow -a-From what I thought I saw -a-But Granny Pie said that wasn't the way -a-To deal with fears at all -a-She said, "Pinkie, you gotta stand up tall -a-Learn to face your fears -a-You'll see that they can't hurt you -a-Just laugh to make them disappear." -a-Ha! Ha! Ha! -a-So, giggle at the ghostly -a-Guffaw at the grossly -a-Crack up at the creepy -a-Whoop it up with the weepy -a-Chortle at the kooky -a-Snortle at the spooky -a-And tell that big dumb scary face to take a hike and leave you alone and if he thinks he can scare you then he's got another thing coming and the very idea of such a thing just makes you wanna... hahahaha... heh... |1|2
2|Pinkie's Gala Fantasy Song|Oh the Grand Galloping Gala is the best place for me -a-Oh the Grand Galloping Gala is the best place for me -a-Hip hip -a-Hooray! -a-It's the best place for me -a-For Pinkie... -a-Oh the Grand Galloping Gala is the best place for me -a-Oh the Grand Galloping Gala is the best place for me -a-'Cause it's the most galarrific superly-terrific gala ever -a-In the whole galaxy |1|3
3|The Ticket Song|Twilight is my bestest friend -a-Whoopie, whoopie! -a-She's the cutest, smartest, all around best pony, pony! -a-I bet if I throw a super-duper fun party, party! |1|3
4|Junior Speedsters Chant|Junior Speedsters are our lives, -a-Sky-bound soars and daring dives -a-Junior Speedsters, it's our quest, |1|5
5|Hop, skip and jump|It's not very far -a-Just move your little rump -a-You can make it if you try with a hop, skip and jump -a-A hop, skip and jump, -a-Just move your little rump, -a-A hop, skip and jump, -a-A hop, skip and jump, -a-A hop, skip and jump, -a-A hop skip and jump, |1|7
6|Evil Enchantress song|She's an evil enchantress -a-She does evil dances -a-And if you look deep in her eyes -a-She'll put you in trances -a-Then what will she do? -a-She'll mix up an evil brew -a-Then she'll gobble you up |1|9
7|Winter Wrap Up|Three months of winter coolness -a-And awesome holidays -a-We've kept our hoofsies warm at home -a-Time off from work to play -a-But the food we've stored is runnin' out -a-And we can't grow in this cold -a-And even though I love my boots -a-This fashion's getting old -a-The time has come to welcome spring -a-And all things warm and green -a-But it's also time to say goodbye -a-It's winter we must clean -a-How can I help? I'm new, you see -a-What does everypony do? -a-How do I fit in without magic? -a-I haven't got a clue! -a-Winter Wrap Up! Winter Wrap Up! -a-Let's finish our holiday cheer -a-Winter Wrap Up! Winter Wrap Up! -a-'Cause tomorrow spring– -a-–is here! -a-'Cause tomorrow spring is here! -a-Bringing home the southern birds -a-A Pegasus' job begins -a-And clearing all the gloomy skies -a-To let the sunshine in -a-We move the clouds -a-And we melt the white snow -a-When the sun comes up -a-Its warmth and beauty will glow! -a-Winter Wrap Up! Winter Wrap Up! -a-Let's finish our holiday cheer -a-Winter Wrap Up! Winter Wrap Up! -a-'Cause tomorrow spring is here -a-Winter Wrap Up! Winter Wrap Up! -a-'Cause tomorrow spring is here -a-'Cause tomorrow spring is here! -a-Little critters hibernate -a-Under the snow and ice -a-We wake up all their sleepy heads -a-So quietly and nice -a-We help them gather up their food -a-Fix their homes below -a-We welcome back the southern birds -a-So their families can grow! -a- Winter, winter) -a-Let's finish our holiday cheer -a- Winter, winter) -a-'Cause tomorrow spring is here -a- Winter, winter) -a-'Cause tomorrow spring is here -a-'Cause tomorrow spring is here! -a-No easy task to clear the ground -a-Plant our tiny seeds -a-With proper care and sunshine -a-Everyone it feeds -a-Apples, carrots, celery stalks -a-Colorful flowers too -a-We must work so very hard -a-It's just so much to do! -a-Winter Wrap Up! Winter Wrap Up! -a-Let's finish our holiday cheer -a-Winter Wrap Up! Winter Wrap Up! -a-'Cause tomorrow spring is here -a-Winter Wrap Up! Winter Wrap Up! -a-'Cause tomorrow spring is here -a-'Cause tomorrow spring is here! -a-Now that I know what they all do -a-I have to find my place -a-And help with all of my heart -a-Tough task ahead I face -a-How will I do without my magic -a-Help the Earth pony way -a-I wanna belong so I must -a-Do my best today, -a-Do my best today! -a-Winter Wrap Up! Winter Wrap Up! -a-Let's finish our holiday cheer -a-Winter Wrap Up! Winter Wrap Up! -a-'Cause tomorrow spring is here -a-Winter Wrap Up! Winter Wrap Up! -a-'Cause tomorrow spring is here -a-'Cause tomorrow spring is here |1|11
8|Cupcake Song|All you have to do is take a cup of flour! -a-Add it to the mix! -a-Now just take a little something sweet, not sour! -a-A bit of salt, just a pinch! -a-Baking these treats is such a cinch! -a-Add a teaspoon of vanilla! -a-Add a little more, and you count to four, -a-And you never get your fill of... -a-Cupcakes! So sweet and tasty! -a-Cupcakes! Don't be too hasty! |1|12
9|Art of the Dress|Thread by thread, stitching it together -a-Twilight's dress, cutting out the pattern snip by snip -a-Making sure the fabric folds nicely -a- hip -a-Always gotta keep in mind my pacing -a-Making sure the clothes' correctly facing -a-I'm stitching Twilight's dress -a-Yard by yard, fussing on the details -a-Jewel neckline, don't you know a stitch in time saves nine? -a-Make her something perfect to inspire -a-Even though she hates formal attire -a-Gotta mind those intimate details -a-Even though she's more concerned with sales -a-It's Applejack's new dress -a-Dressmaking's easy, for Pinkie Pie something pink -a-Fluttershy something breezy -a-Blend color and form, -a- Do you think it looks cheesy? -a-Something brash, perhaps quite fetching -a-Hook and eye, couldn't you just simply die? -a-Making sure it fits forelock and crest -a-Don't forget some magic in the dress -a-Even though it rides high on the flank -a-Rainbow won't look like a tank -a-I'm stitching Rainbow's dress -a-Piece by piece, snip by snip -a-Croup, dock, haunch, shoulders, hip -a-Thread by thread, primmed and pressed -a-Yard by yard, never stressed -a-And that's the art of the dress! -a-Stitch by stitch, stitching it together -a-Deadline looms, don't you know the client's always right? -a-Even if my fabric choice was perfect -a-Gotta get them all done by tonight -a-Pinkie Pie, that color's too obtrusive -a-Wait until you see it in the light -a-I'm sewing them together! -a-Hour by hour, one more change -a-I'm sewing them together, take great pains -a-Fluttershy, you're putting me in a bind -a-Rainbow Dash, what is on your mind? -a-Oh my gosh, there's simply not much time -a-Don't forget, Applejack's duds must shine -a-Dressmaking's easy, every customer's call -a-Brings a whole new revision -a-Have to pick up the pace, still hold to my vision -a-All we ever want is indecision -a-All we really like is what we know -a-Gotta balance style with adherence -a-Making sure we make a good appearance -a-Even if you simply have to fudge it -a-Make sure that it stays within our budget -a-Got to overcome intimidation -a-Remember, it's all in the presentation! -a-Piece by piece, snip by snip -a-Croup, dock, haunch, shoulders, hip -a-Bolt by bolt, primmed and pressed -a-Yard by yard, always stressed |1|14
10|Hush Now Lullaby|Hush now, quiet now -a-It's time to lay your sleepy head -a-Hush now, quiet now -a-It's time to go to bed -a-Hush now! Quiet now! -a-It's time to lay your sleepy head! -a-Said hush now! Quiet now! -a-It's time to go to bed! -a-Driftin'  off to sleep! -a-Exciting day behind you! -a-Driftin'  off to sleep! -a-Let the joy of dream land find you! -a-Hush now! Quiet now! -a-Lay your sleepy head! -a-Said hush now! Quiet now! -a-! |1|17
